source_id,source_name,source_type,url,project_use,allowed_use_status,limits,review_owner
FDA-MLMD-PCCP,FDA/Health Canada/MHRA PCCP guiding principles for ML-enabled medical devices,ai_change_control,https://www.fda.gov/medical-devices/software-medical-device-samd/predetermined-change-control-plans-machine-learning-enabled-medical-devices-guiding-principles,"Change-control reminder for future AI/ML updates",source-backed,"Not needed for synthetic v0 unless claims move toward regulated AI-enabled device behavior",regulatory_or_quality_owner_tbd
HHS-HIPAA-DEID,HHS HIPAA de-identification guidance,privacy_data_governance,https://www.hhs.gov/hipaa/for-professionals/special-topics/de-identification/index.html,"Privacy/de-identification boundary for future real health data",source-backed,"V0 should avoid PHI entirely rather than rely on de-identification",privacy_owner_tbd
TW-PDPA-2025,Taiwan Personal Data Protection Act,privacy_data_governance,https://law.moj.gov.tw/ENG/LawClass/LawAll.aspx?pcode=I0050021,"Taiwan privacy boundary for personal data, medical records, healthcare data, and security maintenance obligations",source-backed,"Supports synthetic-only demo boundary; not a substitute for legal review before any real patient-data path",privacy_owner_tbd
TAIWAN-PDPA-ARTICLE6,Taiwan PDPC Personal Data Protection Act Article 6 enforcement-rule reference,privacy_data_governance,https://www.pdpc.gov.tw/en/News_Content/169/747/,"Expert-cited Taiwan privacy boundary for medical records, healthcare data, physical-examination records, and security/maintenance measures",source-backed,"V0 should remain synthetic-only; not approval to process real patient data, logs, screenshots, or raw audio",privacy_owner_tbd
NIST-AI-RMF,NIST AI Risk Management Framework 1.0,ai_risk_management,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,"Govern/map/measure/manage framing for AI risk",source-backed,"General AI risk framework, not medical triage logic",risk_owner_tbd
ENA-ESI-V5,Emergency Nurses Association Emergency Severity Index Handbook 5th Edition,clinical_triage_framework,https://d1w2w5dpazlk1u.cloudfront.net/ENA/pdf/729e51c2-2e61-4a39-ba83-441d729c71d1.pdf,"Emergency triage framework family and vital-sign reassessment concept",source-family,"Assumes trained clinical users; do not assign ESI level in v0",clinical_reviewer_tbd
AHA-HBP-911-2025,American Heart Association high blood pressure emergency guidance,clinical_warning_signs,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/when-to-call-911-for-high-blood-pressure,"BP plus emergency symptom question family",source-backed,"Exact demo threshold and wording require clinician/company sign-off",clinical_reviewer_tbd
AHA-HEART-ATTACK,American Heart Association heart attack warning signs,clinical_warning_signs,https://www.heart.org/en/health-topics/heart-attack/warning-signs-of-a-heart-attack,"Chest discomfort, radiation, dyspnea, sweating, nausea, lightheadedness question family",source-backed,"Does not diagnose ACS or determine EKG/triage level",clinical_reviewer_tbd
CDC-FLU-WARN,CDC flu emergency warning signs,public_health_warning_signs,https://www.cdc.gov/flu/signs-symptoms/,"Fever/respiratory warning-sign question family",source-backed,"Flu page does not cover all-cause fever or ED triage",clinical_reviewer_tbd
CDC-FLU-SIGNS-2024,CDC Signs and Symptoms of Flu,public_health_warning_signs,https://www.cdc.gov/flu/signs-symptoms/index.html,"Expert-cited respiratory warning-sign context for difficulty breathing / shortness of breath and other flu complication warning signs",source-backed,"Warning-sign context only; does not diagnose pneumonia, COVID, sepsis, or assign triage level",clinical_reviewer_tbd
TWCORE-VITALSIGNS-OBS-0-3-2,TW Core Observation Vital Signs profile,interoperability_boundary,https://twcore.mohw.gov.tw/ig/twcore/0.3.2/StructureDefinition-Observation-vitalSigns-twcore.html,"Expert-cited interoperability reference showing vital signs are represented through a FHIR Observation vital signs profile with query, code, unit, and data-absent semantics",source-backed,"Future HIS/FHIR writeback requires separate interoperability work; not part of June critical path",integration_owner_tbd
ADA-HYPO,American Diabetes Association hypoglycemia symptoms and treatment,clinical_warning_signs,https://diabetes.org/living-with-diabetes/hypoglycemia-low-blood-glucose/symptoms-treatment,"Low-glucose symptom family",source-backed,"Glucose branch is optional and needs device/clinical sign-off",clinical_reviewer_tbd
ADA-HYPER,American Diabetes Association hyperglycemia,clinical_warning_signs,https://diabetes.org/living-with-diabetes/treatment-care/hyperglycemia,"High-glucose symptom family",source-backed,"Does not establish iMVS-specific routing",clinical_reviewer_tbd
AUA-RUTI,American Urological Association recurrent uncomplicated UTI guideline,clinical_source_family,https://www.auanet.org/guidelines-and-quality/guidelines/recurrent-uti,"Urinary symptom and fever/flank-pain source family",source-family,"Not an all-patient ED triage rule; exact branch needs review; promotional or commercial use may require licensed AUA copy",urology_or_ed_reviewer_tbd
LOCAL-PROTOCOL-TBD,Hospital or company clinical protocol,local_protocol,tbd,"Final threshold, workflow, and wording authority",clinician-signoff-needed,"Must not be invented by demo team",company_clinical_owner_tbd
WU-GPT-20260514,Prof. Wu forwarded GPT vital-sign questionnaire and triage product design,product_design_context,source/2026-05-14-wu-line-gpt-vital-sign-questionnaire-triage/,"Product framing reference for family medicine / general internal medicine entry triage, 10-question intake, LLM/rule-engine split, and draft adult threshold candidates",context-only,"GPT-generated; not a clinical authority; thresholds and wording require source provenance plus clinician/company sign-off before patient-facing use",clinical_reviewer_tbd
IMEDTAC-SECOND-SYNC-20260515,imedtac second AI-triage sync and Duobao follow-up,product_demo_context,source/2026-05-15-imedtac-second-sync-and-duobao-followup/,"June demo planning source for urgent-care intake, synthetic vital-sign-aligned cases, guided questions, optional ASR, external compute allowance, and clinician-review summary boundary",context-only,"Private meeting evidence; not a clinical authority, regulatory clearance, real patient-data source, or proof of production readiness",project_owner_tbd
IMEDTAC-MINUTES-20260515,imedtac company-provided AI-Triage meeting minutes email,company_meeting_minutes,source/2026-05-15-imedtac-second-sync-and-duobao-followup/assets/2026-05-15-imedtac-company-meeting-minutes-email.pdf,"Company-side record of scope, design direction, action items, 3-5 demo cases, 8-10 question budget, touch/partial voice interaction, and next-week technical sync",context-only,"Private company email; use for alignment and confirmation only; not clinical authority, regulatory clearance, or data-training approval",project_owner_tbd
DUOBAO-CASE-DRAFT-20260515,Duobao first AI-Triage demo case draft,clinical_case_draft,source/2026-05-15-imedtac-second-sync-and-duobao-followup/assets/2026-05-15-duobao-demo-case-draft.pdf,"Clinical design anchor for synthetic demo cases covering abdominal pain/fever, tachycardia/chest tightness, dyspnea/low-SpO2, and low-acuity URI contrast",context-only,"Private clinical draft; diagnosis labels and draft levels are design anchors only and must not be used as system output without clinician/company-approved wording",clinical_reviewer_tbd
DUOBAO-DEMO-DESIGN-20260520,Duobao structured demo cases and question design,clinical_design_draft,source/2026-05-20-duobao-demo-cases-question-design/,"Expanded clinical/product design draft covering broad symptom branches, four structured demo cases, post-vital trigger questions, and a SOAP-shaped output sketch",context-only,"Private clinical draft; do not directly import real-name collection, triage level, acuity, disposition, department recommendation, immediate actions, diagnosis labels, or vital thresholds into runtime without clinical/company approval",clinical_reviewer_tbd
IMEDTAC-ENGINEERING-SYNC-20260521,imedtac engineering sync corrected transcript and meeting record,engineering_sync,source/2026-05-21-imedtac-engineering-sync/,"Post-sync source bundle confirming June post-measurement flow, Endpoint 1/3 merge, imedtac field-dictionary dependency, voice deferral, Remote REST API Mode, Local Scripted Demo Mode, and respiratory synthetic plus tachycardia live-performance case lanes",context-only,"Private meeting evidence; use for API/workflow alignment and next-action routing only, not clinical authority, regulatory clearance, real patient-data approval, or production integration approval",project_owner_tbd
DUOBAO-POST-IMEDTAC-SYNC-20260521,Duobao post-imedtac internal sync corrected transcript,internal_clinical_engineering_sync,source/2026-05-21-duobao-post-imedtac-internal-sync/,"Internal post-meeting interpretation confirming no formal triage-level output for June, AI placement in vital-aware question selection and staff-review summary, reusable UI question-template requirement, and need for actual iMVS machine review before finalizing flow",context-only,"Private internal discussion; not company commitment, clinical authority, regulatory clearance, or approval to process real patient data; use only for planning, API/UI questions, and safe demo boundary",project_owner_tbd
WU-LINE-PATENT-PROTECTION-20260521,Prof. Wu LINE AI-Triage patent protection signal,prof_wu_ip_strategy,source/2026-05-21-wu-line-ai-triage-patent-protection/,"Prof. Wu instruction to discuss AI-Triage patents with Tomi and protect NYCU's patent/IP position before teaching imedtac the full reusable method",context-only,"Private LINE source; not legal advice, patent filing, company commitment, or permission to disclose patent-sensitive implementation details externally",prof_wu_tomi_jason_tbd
WU-IP-CAREER-CALL-20260521,Prof. Wu AI-Triage IP and career planning call,prof_wu_ip_contract_career_strategy,source/2026-05-21-wu-ai-triage-ip-and-career-call/,"Prof. Wu call confirming lab API as know-how boundary, idea attribution in meeting records, MOU insufficiency for product co-development, contract/license/revenue questions, imedtac engineering assessment, postdoc funding runway, and June deep-cultivation proposal planning",context-only,"Private call source; not legal advice, patent filing, company commitment, employment promise, or permission to disclose patent-sensitive implementation details externally",prof_wu_tomi_jason_tbd
IMEDTAC-POST-MEETING-PROGRESS-20260521,imedtac post-meeting AI Triage progress record,company_meeting_record,source/2026-05-21-imedtac-post-meeting-progress-record/,"Johnny Fang's post-meeting Gmail record confirming June 10 around US customer demo planning, measure-first question flow, Endpoint 1/3 merge, single/multi-choice UI, demo preview page, no voice, tachycardia live-demo preference, and NYCU action items for API logic and demo script",context-only,"Private company email/PDF; use for alignment and task routing only; not clinical authority, regulatory clearance, production integration approval, or real patient-data approval",project_owner_tbd
IMEDTAC-TEAMS-API-FOLLOWUP-20260521,imedtac Microsoft Teams API follow-up,engineering_followup,source/2026-05-21-imedtac-teams-api-followup/,"Teams channel follow-up where Ben and Lauren are identified as primary imedtac technical contacts and imedtac asks for the two-endpoint API document, preset question/options template, and skip-behavior answer",context-only,"Private engineering coordination source; not final API acceptance, clinical authority, regulatory clearance, or approval to disclose patent-sensitive implementation details",project_owner_tbd
