category,module_title,module_file,question_id,question_type,question,answers,answer_options
GI,Unintentional Weight Loss Symptom Module,GI/unintentional_weight_loss.md,UWL-5,Multiple choice,Are any of these happening now?,[ ] Severe weakness [ ] Unable to eat or drink [ ] Blood in stool / vomit [ ] Trouble swallowing [ ] Very abnormal kiosk vital sign [ ] None,Severe weakness; Unable to eat or drink; Blood in stool / vomit; Trouble swallowing; Very abnormal kiosk vital sign; None
Heart,Bradycardia Symptom Module,Heart/bradycardia.md,BRADY-1,Multiple choice,How do you feel right now?,[ ] Normal now [ ] Dizzy or lightheaded [ ] Fainting or nearly fainting [ ] Chest discomfort [ ] Shortness of breath [ ] Not sure,Normal now; Dizzy or lightheaded; Fainting or nearly fainting; Chest discomfort; Shortness of breath; Not sure
Heart,Bradycardia Symptom Module,Heart/bradycardia.md,BRADY-2,Single choice,When did the slow heart-rate concern or symptoms start?,[ ] Just now [ ] Today [ ] 1-3 days ago [ ] Longer than 3 days [ ] Not sure,Just now; Today; 1-3 days ago; Longer than 3 days; Not sure
Heart,Bradycardia Symptom Module,Heart/bradycardia.md,BRADY-6,Multiple choice,Are any of these happening now?,[ ] Fainting or nearly fainting [ ] Severe chest pain [ ] Trouble breathing [ ] New confusion or severe weakness [ ] Heart rate very low on kiosk [ ] None,Fainting or nearly fainting; Severe chest pain; Trouble breathing; New confusion or severe weakness; Heart rate very low on kiosk; None
Heart,Edema Symptom Module,Heart/edema.md,EDE-1,Multiple choice,Where is the swelling?,[ ] One leg / foot [ ] Both legs / feet [ ] Hands [ ] Face / eyelids [ ] Abdomen [ ] Whole body,One leg / foot; Both legs / feet; Hands; Face / eyelids; Abdomen; Whole body
Heart,Edema Symptom Module,Heart/edema.md,EDE-2,Single choice,When did swelling start?,[ ] Today [ ] 1-3 days ago [ ] 4-7 days ago [ ] More than 1 week ago [ ] Long-term issue [ ] Not sure,Today; 1-3 days ago; 4-7 days ago; More than 1 week ago; Long-term issue; Not sure
Heart,Edema Symptom Module,Heart/edema.md,EDE-3,Multiple choice,What is the swelling like?,[ ] Worse at night [ ] Better after raising legs [ ] Painful [ ] Red / warm [ ] Sudden one-sided swelling [ ] Not sure,Worse at night; Better after raising legs; Painful; Red / warm; Sudden one-sided swelling; Not sure
Heart,Edema Symptom Module,Heart/edema.md,EDE-5,Multiple choice,Are any of these happening now?,[ ] Shortness of breath at rest [ ] Chest pain [ ] Sudden one-sided leg swelling [ ] Face / tongue swelling [ ] Very abnormal kiosk vital sign [ ] None,Shortness of breath at rest; Chest pain; Sudden one-sided leg swelling; Face / tongue swelling; Very abnormal kiosk vital sign; None
Heart,Hypertension Symptom Module,Heart/hypertension.md,HTN-1,Multiple choice,Are any of these happening now?,"[ ] No symptoms now [ ] Severe headache [ ] Blurred vision or vision change [ ] Chest pain or pressure [ ] Shortness of breath [ ] Weakness, numbness, confusion, or trouble speaking [ ] Not sure","No symptoms now; Severe headache; Blurred vision or vision change; Chest pain or pressure; Shortness of breath; Weakness, numbness, confusion, or trouble speaking; Not sure"
Heart,Hypertension Symptom Module,Heart/hypertension.md,HTN-2,Single choice,When did these symptoms or the blood-pressure concern start?,[ ] Just now [ ] Today [ ] 1-3 days ago [ ] Longer than 3 days [ ] Not sure,Just now; Today; 1-3 days ago; Longer than 3 days; Not sure
Heart,Hypertension Symptom Module,Heart/hypertension.md,HTN-6,Multiple choice,Are any of these present now?,"[ ] Chest pain or pressure [ ] Shortness of breath [ ] Severe headache or vision change [ ] New weakness, numbness, confusion, or trouble speaking [ ] SBP very high on kiosk [ ] None","Chest pain or pressure; Shortness of breath; Severe headache or vision change; New weakness, numbness, confusion, or trouble speaking; SBP very high on kiosk; None"
Heart,Palpitation Symptom Module,Heart/palpitation.md,PAL-1,Multiple choice,What does your heartbeat feel like?,[ ] Racing [ ] Irregular / skipping beats [ ] Pounding [ ] Fluttering [ ] Slow heartbeat [ ] Not sure,Racing; Irregular / skipping beats; Pounding; Fluttering; Slow heartbeat; Not sure
Heart,Palpitation Symptom Module,Heart/palpitation.md,PAL-2,Single choice,How did it start?,[ ] Suddenly [ ] Gradually [ ] During activity [ ] At rest [ ] After caffeine / stimulant [ ] Not sure,Suddenly; Gradually; During activity; At rest; After caffeine / stimulant; Not sure
Heart,Palpitation Symptom Module,Heart/palpitation.md,PAL-6,Multiple choice,Are any of these happening now?,[ ] Fainting or nearly fainting [ ] Severe chest pain [ ] Trouble breathing [ ] Heart rate very high on kiosk [ ] New confusion / severe weakness [ ] None,Fainting or nearly fainting; Severe chest pain; Trouble breathing; Heart rate very high on kiosk; New confusion / severe weakness; None
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-chief-concern,Single choice,What is the main reason you are using the kiosk today?,[ ] Heart racing / palpitations [ ] Chest tightness / pressure [ ] Shortness of breath or dizziness [ ] Other / not sure,Heart racing / palpitations; Chest tightness / pressure; Shortness of breath or dizziness; Other / not sure
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-onset,Single choice,When did this start?,[ ] Within the last hour [ ] A few hours ago [ ] About half a day [ ] More than one day / not sure,Within the last hour; A few hours ago; About half a day; More than one day / not sure
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-current-feeling,Multiple choice,Which descriptions fit what you feel now?,"[ ] Heart racing or pounding [ ] Chest tightness or heaviness [ ] Chest pressure or pain [ ] Burning, sharp discomfort, or not sure","Heart racing or pounding; Chest tightness or heaviness; Chest pressure or pain; Burning, sharp discomfort, or not sure"
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-associated-symptoms,Multiple choice,Are any of these happening with it?,"[ ] Shortness of breath [ ] Sweating, nausea, or unusual fatigue [ ] Dizziness, lightheadedness, or fainting [ ] None of these","Shortness of breath; Sweating, nausea, or unusual fatigue; Dizziness, lightheadedness, or fainting; None of these"
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-post-vital-heart-rate-cue,Single choice,The kiosk received a high heart-rate reading for this demo. How do you feel right now?,[ ] My heart still feels fast [ ] My chest still feels heavy / tight [ ] Both [ ] Neither now / not sure,My heart still feels fast; My chest still feels heavy / tight; Both; Neither now / not sure
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-heart-history-meds,Multiple choice,"Have you been told you have a heart rhythm problem, or do you take heart / blood-pressure medicine?","[ ] Known rhythm problem [ ] Heart or blood-pressure medicine [ ] No known history / medicine [ ] Not sure, staff should confirm","Known rhythm problem; Heart or blood-pressure medicine; No known history / medicine; Not sure, staff should confirm"
Heart,Tachycardia Symptom Module,Heart/tachycardia.md,tachy-medication-allergy-confirm,Multiple choice,Do you have medication allergies or medicines staff should confirm?,[ ] Medication allergy [ ] Regular medicines [ ] No known medication allergy [ ] Not sure,Medication allergy; Regular medicines; No known medication allergy; Not sure
Hema,Bleeding And Thrombosis Symptom Module,Hema/bleeding_thrombosis.md,BTH-1,Multiple choice,What is the main concern?,[ ] Bleeding [ ] Easy bruising [ ] Blood clot concern [ ] Leg swelling / pain [ ] Taking blood thinner medicine [ ] Not sure,Bleeding; Easy bruising; Blood clot concern; Leg swelling / pain; Taking blood thinner medicine; Not sure
Hema,Bleeding And Thrombosis Symptom Module,Hema/bleeding_thrombosis.md,BTH-2,Multiple choice,Where is bleeding happening?,[ ] Nose / mouth [ ] Vomit [ ] Stool [ ] Urine [ ] Skin wound [ ] No active bleeding,Nose / mouth; Vomit; Stool; Urine; Skin wound; No active bleeding
Hema,Bleeding And Thrombosis Symptom Module,Hema/bleeding_thrombosis.md,BTH-3,Multiple choice,Do you have any of these symptoms?,[ ] One-sided leg swelling [ ] Calf pain [ ] Chest pain [ ] Shortness of breath [ ] Coughing blood [ ] None,One-sided leg swelling; Calf pain; Chest pain; Shortness of breath; Coughing blood; None
Hema,Bleeding And Thrombosis Symptom Module,Hema/bleeding_thrombosis.md,BTH-5,Multiple choice,Are any of these happening now?,[ ] Large active bleeding [ ] Fainting [ ] Shortness of breath with chest pain [ ] Coughing blood [ ] Sudden one-sided leg swelling [ ] None,Large active bleeding; Fainting; Shortness of breath with chest pain; Coughing blood; Sudden one-sided leg swelling; None
Hema,Bruise Symptom Module,Hema/bruise.md,BRU-1,Multiple choice,What bruising do you notice?,[ ] One bruise after injury [ ] Many bruises [ ] Bruises without known injury [ ] Tiny red / purple spots [ ] Not sure,One bruise after injury; Many bruises; Bruises without known injury; Tiny red / purple spots; Not sure
Hema,Bruise Symptom Module,Hema/bruise.md,BRU-2,Multiple choice,Where are the bruises?,[ ] Arms / hands [ ] Legs / feet [ ] Trunk [ ] Face / head [ ] Multiple areas [ ] Not sure,Arms / hands; Legs / feet; Trunk; Face / head; Multiple areas; Not sure
Hema,Bruise Symptom Module,Hema/bruise.md,BRU-3,Single choice,When did it start?,[ ] Today [ ] 1-3 days ago [ ] 4-7 days ago [ ] More than 1 week ago [ ] Not sure,Today; 1-3 days ago; 4-7 days ago; More than 1 week ago; Not sure
Hema,Bruise Symptom Module,Hema/bruise.md,BRU-5,Multiple choice,Are any of these happening now?,[ ] Head injury with bruise [ ] Large expanding bruise [ ] Active bleeding [ ] Very painful swollen area [ ] Taking blood thinner medicine [ ] None,Head injury with bruise; Large expanding bruise; Active bleeding; Very painful swollen area; Taking blood thinner medicine; None
Hema,Lymph Node And Spleen Enlargement Symptom Module,Hema/lymph_nodes_spleen_enlargement.md,LNS-1,Multiple choice,Where is the swelling or lump?,[ ] Neck [ ] Armpit [ ] Groin [ ] Left upper abdomen fullness [ ] Multiple areas [ ] Not sure,Neck; Armpit; Groin; Left upper abdomen fullness; Multiple areas; Not sure
Hema,Lymph Node And Spleen Enlargement Symptom Module,Hema/lymph_nodes_spleen_enlargement.md,LNS-3,Multiple choice,What is it like?,[ ] Painful / tender [ ] Painless [ ] Red / warm skin [ ] Growing larger [ ] Comes and goes [ ] Not sure,Painful / tender; Painless; Red / warm skin; Growing larger; Comes and goes; Not sure
Hema,Lymph Node And Spleen Enlargement Symptom Module,Hema/lymph_nodes_spleen_enlargement.md,LNS-5,Multiple choice,Are any of these happening now?,[ ] Trouble breathing / swallowing [ ] Rapidly enlarging neck swelling [ ] Severe abdominal pain [ ] Fever with severe weakness [ ] Very abnormal kiosk vital sign [ ] None,Trouble breathing / swallowing; Rapidly enlarging neck swelling; Severe abdominal pain; Fever with severe weakness; Very abnormal kiosk vital sign; None
Neuro,Aphasia Memory Loss Neglect And Cerebral Disorder Symptom Module,Neuro/cerebral_disorders.md,CER-1,Multiple choice,What problem are you noticing?,[ ] Trouble speaking [ ] Trouble understanding speech [ ] Memory loss [ ] Ignoring one side [ ] Personality / behavior change [ ] Not sure,Trouble speaking; Trouble understanding speech; Memory loss; Ignoring one side; Personality / behavior change; Not sure
Neuro,Aphasia Memory Loss Neglect And Cerebral Disorder Symptom Module,Neuro/cerebral_disorders.md,CER-2,Single choice,How did it start?,[ ] Suddenly [ ] Gradually [ ] After head injury [ ] After seizure-like event [ ] Comes and goes [ ] Not sure,Suddenly; Gradually; After head injury; After seizure-like event; Comes and goes; Not sure
Neuro,Aphasia Memory Loss Neglect And Cerebral Disorder Symptom Module,Neuro/cerebral_disorders.md,CER-3,Multiple choice,What is affected right now?,[ ] Naming objects [ ] Following instructions [ ] Remembering recent events [ ] Reading / writing [ ] Attention / judgment [ ] Not sure,Naming objects; Following instructions; Remembering recent events; Reading / writing; Attention / judgment; Not sure
Neuro,Aphasia Memory Loss Neglect And Cerebral Disorder Symptom Module,Neuro/cerebral_disorders.md,CER-5,Multiple choice,Are any of these happening now?,[ ] New trouble speaking [ ] New one-sided weakness / numbness [ ] New vision loss [ ] Sudden confusion [ ] Recent head injury [ ] None,New trouble speaking; New one-sided weakness / numbness; New vision loss; Sudden confusion; Recent head injury; None
Neuro,Confusion And Delirium Symptom Module,Neuro/confusion_delirium.md,CFD-1,Multiple choice,What change is happening?,[ ] Confused [ ] Very sleepy [ ] Agitated [ ] Seeing / hearing things [ ] Not acting normal [ ] Not sure,Confused; Very sleepy; Agitated; Seeing / hearing things; Not acting normal; Not sure
Neuro,Confusion And Delirium Symptom Module,Neuro/confusion_delirium.md,CFD-2,Single choice,When did the change start?,[ ] Suddenly today [ ] 1-2 days ago [ ] 3-7 days ago [ ] More than 1 week ago [ ] Not sure,Suddenly today; 1-2 days ago; 3-7 days ago; More than 1 week ago; Not sure
Neuro,Confusion And Delirium Symptom Module,Neuro/confusion_delirium.md,CFD-3,Multiple choice,Is this different from usual?,[ ] Clearly different [ ] Slightly different [ ] Same as usual [ ] Not sure,Clearly different; Slightly different; Same as usual; Not sure
Neuro,Confusion And Delirium Symptom Module,Neuro/confusion_delirium.md,CFD-5,Multiple choice,Are any of these happening now?,[ ] Sudden confusion [ ] Cannot stay awake [ ] Seizure [ ] New weakness / trouble speaking [ ] Very abnormal kiosk vital sign [ ] None,Sudden confusion; Cannot stay awake; Seizure; New weakness / trouble speaking; Very abnormal kiosk vital sign; None
Neuro,Dementia Concern Symptom Module,Neuro/dementia.md,DEM-1,Multiple choice,What is the main concern?,[ ] Memory problem [ ] Getting lost [ ] Trouble managing medicine [ ] Behavior change [ ] Safety concern at home [ ] Not sure,Memory problem; Getting lost; Trouble managing medicine; Behavior change; Safety concern at home; Not sure
Neuro,Dementia Concern Symptom Module,Neuro/dementia.md,DEM-2,Single choice,How long has this been noticed?,[ ] Days [ ] Weeks [ ] Months [ ] Years [ ] Not sure,Days; Weeks; Months; Years; Not sure
Neuro,Dementia Concern Symptom Module,Neuro/dementia.md,DEM-3,Multiple choice,What activities are affected?,[ ] Finances / appointments [ ] Cooking / shopping [ ] Personal care [ ] Medication use [ ] Driving / navigation [ ] None,Finances / appointments; Cooking / shopping; Personal care; Medication use; Driving / navigation; None
Neuro,Dementia Concern Symptom Module,Neuro/dementia.md,DEM-5,Multiple choice,Are any of these happening now?,[ ] Sudden confusion [ ] Fall / head injury [ ] Fever [ ] Unsafe to go home alone [ ] New weakness / trouble speaking [ ] None,Sudden confusion; Fall / head injury; Fever; Unsafe to go home alone; New weakness / trouble speaking; None
Neuro,Dizziness Symptom Module,Neuro/dizziness.md,DIZ-1,Multiple choice,What kind of dizziness do you feel?,[ ] Room spinning [ ] Feeling faint [ ] Unsteady walking [ ] Lightheaded [ ] Blurry vision [ ] Not sure,Room spinning; Feeling faint; Unsteady walking; Lightheaded; Blurry vision; Not sure
Neuro,Dizziness Symptom Module,Neuro/dizziness.md,DIZ-2,Single choice,How did it start?,[ ] Suddenly [ ] Gradually [ ] After standing up [ ] After head movement [ ] After injury [ ] Not sure,Suddenly; Gradually; After standing up; After head movement; After injury; Not sure
Neuro,Dizziness Symptom Module,Neuro/dizziness.md,DIZ-6,Multiple choice,Are any of these happening now?,[ ] Fainting [ ] Weakness or numbness [ ] Trouble speaking [ ] Severe headache [ ] Chest pain [ ] None,Fainting; Weakness or numbness; Trouble speaking; Severe headache; Chest pain; None
Neuro,Gait Imbalance And Falls Symptom Module,Neuro/gait_imbalance_falls.md,GIF-1,Multiple choice,What is the main problem?,[ ] Unsteady walking [ ] Recent fall [ ] Fear of falling [ ] Leg weakness [ ] Dizziness while walking [ ] Not sure,Unsteady walking; Recent fall; Fear of falling; Leg weakness; Dizziness while walking; Not sure
Neuro,Gait Imbalance And Falls Symptom Module,Neuro/gait_imbalance_falls.md,GIF-2,Single choice,When did this start?,[ ] Today [ ] 1-3 days ago [ ] 4-7 days ago [ ] More than 1 week ago [ ] Long-term issue [ ] Not sure,Today; 1-3 days ago; 4-7 days ago; More than 1 week ago; Long-term issue; Not sure
Neuro,Gait Imbalance And Falls Symptom Module,Neuro/gait_imbalance_falls.md,GIF-3,Multiple choice,"If you fell, what happened?",[ ] Tripped [ ] Slipped [ ] Felt dizzy [ ] Fainted / blacked out [ ] Hit head [ ] No fall,Tripped; Slipped; Felt dizzy; Fainted / blacked out; Hit head; No fall
Neuro,Gait Imbalance And Falls Symptom Module,Neuro/gait_imbalance_falls.md,GIF-5,Multiple choice,Are any of these happening now?,[ ] Head injury from fall [ ] Cannot walk safely [ ] New one-sided weakness [ ] Fainting [ ] Severe pain after fall [ ] None,Head injury from fall; Cannot walk safely; New one-sided weakness; Fainting; Severe pain after fall; None
Neuro,Neurologic Weakness And Paralysis Symptom Module,Neuro/neurologic_weakness_paralysis.md,NWP-1,Multiple choice,Where do you feel weakness?,[ ] Face [ ] One arm [ ] One leg [ ] One side of body [ ] Both legs [ ] Whole body,Face; One arm; One leg; One side of body; Both legs; Whole body
Neuro,Neurologic Weakness And Paralysis Symptom Module,Neuro/neurologic_weakness_paralysis.md,NWP-2,Single choice,How did the weakness start?,[ ] Suddenly [ ] Gradually [ ] After injury [ ] After illness / fever [ ] Comes and goes [ ] Not sure,Suddenly; Gradually; After injury; After illness / fever; Comes and goes; Not sure
Neuro,Neurologic Weakness And Paralysis Symptom Module,Neuro/neurologic_weakness_paralysis.md,NWP-3,Multiple choice,What can you do right now?,[ ] Walk normally [ ] Walk with help [ ] Cannot walk [ ] Cannot lift arm / leg normally [ ] Trouble holding objects [ ] Not sure,Walk normally; Walk with help; Cannot walk; Cannot lift arm / leg normally; Trouble holding objects; Not sure
Neuro,Neurologic Weakness And Paralysis Symptom Module,Neuro/neurologic_weakness_paralysis.md,NWP-5,Multiple choice,Are any of these happening now?,[ ] Sudden one-sided weakness [ ] Trouble speaking [ ] New confusion [ ] New severe headache [ ] Recent head / spine injury [ ] None,Sudden one-sided weakness; Trouble speaking; New confusion; New severe headache; Recent head / spine injury; None
